sample_size,repeat,model,best_params
5600,0,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
5600,0,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
5600,0,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
5600,0,FS_PCA_RandomForest,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'pca__n_components': 0.95, 'select__k': 50}"
5600,1,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
5600,1,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
5600,1,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 0.01, 'pca__n_components': 0.95, 'select__k': 50}"
5600,1,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'pca__n_components': 0.95, 'select__k': 50}"
5600,2,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
5600,2,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
5600,2,FS_PCA_RBF_SVM,"{'clf__C': 10, 'clf__gamma': 0.001, 'pca__n_components': 0.95, 'select__k': 50}"
5600,2,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
2800,0,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
2800,0,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
2800,0,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
2800,0,FS_PCA_RandomForest,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
2800,1,FS_PCA_L1_Logistic,"{'clf__C': 0.5, 'pca__n_components': 0.95, 'select__k': 50}"
2800,1,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
2800,1,FS_PCA_RBF_SVM,"{'clf__C': 10, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
2800,1,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
2800,2,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
2800,2,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
2800,2,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
2800,2,FS_PCA_RandomForest,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
1400,0,FS_PCA_L1_Logistic,"{'clf__C': 0.5, 'pca__n_components': 0.95, 'select__k': 50}"
1400,0,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
1400,0,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
1400,0,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'pca__n_components': 0.95, 'select__k': 50}"
1400,1,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
1400,1,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
1400,1,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
1400,1,FS_PCA_RandomForest,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.9, 'select__k': 50}"
1400,2,FS_PCA_L1_Logistic,"{'clf__C': 0.5, 'pca__n_components': 0.95, 'select__k': 50}"
1400,2,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
1400,2,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 0.01, 'pca__n_components': 0.95, 'select__k': 50}"
1400,2,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
700,0,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.95, 'select__k': 50}"
700,0,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
700,0,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 'scale', 'pca__n_components': 0.95, 'select__k': 50}"
700,0,FS_PCA_RandomForest,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'pca__n_components': 0.95, 'select__k': 50}"
700,1,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.8, 'select__k': 50}"
700,1,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
700,1,FS_PCA_RBF_SVM,"{'clf__C': 10, 'clf__gamma': 0.001, 'pca__n_components': 0.95, 'select__k': 50}"
700,1,FS_PCA_RandomForest,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
700,2,FS_PCA_L1_Logistic,"{'clf__C': 0.5, 'pca__n_components': 0.95, 'select__k': 50}"
700,2,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.95, 'select__k': 50}"
700,2,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 0.01, 'pca__n_components': 0.95, 'select__k': 50}"
700,2,FS_PCA_RandomForest,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'pca__n_components': 0.95, 'select__k': 50}"
350,0,FS_PCA_L1_Logistic,"{'clf__C': 0.5, 'pca__n_components': 0.95, 'select__k': 50}"
350,0,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.9, 'select__k': 50}"
350,0,FS_PCA_RBF_SVM,"{'clf__C': 1, 'clf__gamma': 0.01, 'pca__n_components': 0.95, 'select__k': 50}"
350,0,FS_PCA_RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'pca__n_components': 0.9, 'select__k': 50}"
350,1,FS_PCA_L1_Logistic,"{'clf__C': 0.1, 'pca__n_components': 0.8, 'select__k': 50}"
350,1,FS_PCA_Shrinkage_LDA,"{'pca__n_components': 0.8, 'select__k': 50}"
350,1,FS_PCA_RBF_SVM,"{'clf__C': 10, 'clf__gamma': 0.001, 'pca__n_components': 0.95, 'select__k': 50}"
