sample_size,model,class,precision_mean,recall_mean,f1_mean,f1_std,support_mean
140,FS_PCA_L1_Logistic,1,0.7904761904761904,0.5555555555555555,0.6142191142191142,0.11364084624474141,6.0
140,FS_PCA_L1_Logistic,2,0.6666666666666666,0.4444444444444444,0.5259259259259259,0.24377011365784204,6.0
140,FS_PCA_L1_Logistic,3,0.4523809523809524,0.4444444444444444,0.44102564102564107,0.0355292473347462,6.0
140,FS_PCA_L1_Logistic,4,0.8492063492063492,0.8333333333333334,0.8372183372183373,0.07001096072626298,6.0
140,FS_PCA_L1_Logistic,5,0.888888888888889,0.888888888888889,0.888888888888889,0.0962250448649376,6.0
140,FS_PCA_L1_Logistic,6,0.2943121693121693,0.38888888888888884,0.3343101343101343,0.08417047880493447,6.0
140,FS_PCA_L1_Logistic,7,0.8214285714285715,0.9444444444444445,0.8754578754578755,0.1164696930079461,6.0
140,FS_PCA_RBF_SVM,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1666666666666667,6.0
140,FS_PCA_RBF_SVM,2,1.0,0.5555555555555555,0.7000000000000001,0.17320508075688776,6.0
140,FS_PCA_RBF_SVM,3,0.5821428571428572,0.611111111111111,0.5904095904095904,0.15090868220827441,6.0
140,FS_PCA_RBF_SVM,4,0.8571428571428571,1.0,0.923076923076923,0.0,6.0
140,FS_PCA_RBF_SVM,5,1.0,0.8333333333333334,0.903030303030303,0.10013764631429274,6.0
140,FS_PCA_RBF_SVM,6,0.3611111111111111,0.38888888888888884,0.36190476190476195,0.06598288790738582,6.0
140,FS_PCA_RBF_SVM,7,0.8690476190476191,1.0,0.9267399267399267,0.07149897910601886,6.0
140,FS_PCA_RandomForest,1,0.8015873015873015,0.611111111111111,0.6495726495726496,0.1692760882080202,6.0
140,FS_PCA_RandomForest,2,0.8888888888888888,0.611111111111111,0.7178451178451178,0.24297356393963213,6.0
140,FS_PCA_RandomForest,3,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.19245008972987526,6.0
140,FS_PCA_RandomForest,4,0.8412698412698413,0.888888888888889,0.8632478632478633,0.05181348569650489,6.0
140,FS_PCA_RandomForest,5,1.0,0.888888888888889,0.9393939393939394,0.05248638810814781,6.0
140,FS_PCA_RandomForest,6,0.42820512820512824,0.5555555555555556,0.46331738437001596,0.08732330510684379,6.0
140,FS_PCA_RandomForest,7,0.7916666666666666,0.9444444444444445,0.8571428571428571,0.14285714285714288,6.0
140,FS_PCA_Shrinkage_LDA,1,0.6682539682539682,0.6666666666666666,0.6647241647241647,0.15014773549545268,6.0
140,FS_PCA_Shrinkage_LDA,2,1.0,0.611111111111111,0.7363636363636363,0.2118396399587462,6.0
140,FS_PCA_Shrinkage_LDA,3,0.6555555555555556,0.6666666666666666,0.6551226551226551,0.07856079416344129,6.0
140,FS_PCA_Shrinkage_LDA,4,0.8571428571428571,1.0,0.923076923076923,0.0,6.0
140,FS_PCA_Shrinkage_LDA,5,1.0,0.9444444444444445,0.9696969696969697,0.05248638810814783,6.0
140,FS_PCA_Shrinkage_LDA,6,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.0,6.0
140,FS_PCA_Shrinkage_LDA,7,0.9444444444444445,0.9444444444444445,0.9444444444444445,0.09622504486493756,6.0
350,FS_PCA_L1_Logistic,1,0.8438492063492063,0.8444444444444444,0.8435545668026202,0.08745702761988351,15.0
350,FS_PCA_L1_Logistic,2,0.8792207792207792,0.7777777777777778,0.8219274977895669,0.06643243002556412,15.0
350,FS_PCA_L1_Logistic,3,0.6117216117216118,0.6222222222222222,0.6116584564860427,0.03656066351102187,15.0
350,FS_PCA_L1_Logistic,4,0.8982843137254902,0.888888888888889,0.8883661887694146,0.04939723545359752,15.0
350,FS_PCA_L1_Logistic,5,0.9246031746031745,0.7777777777777778,0.8437633035334184,0.03959818119790035,15.0
350,FS_PCA_L1_Logistic,6,0.5632591093117408,0.6,0.5777988614800759,0.07314122911653906,15.0
350,FS_PCA_L1_Logistic,7,0.7715399610136453,0.888888888888889,0.8240047534165181,0.024245919149707213,15.0
350,FS_PCA_RBF_SVM,1,0.8041666666666667,0.8222222222222223,0.8129032258064517,0.02234904267830807,15.0
350,FS_PCA_RBF_SVM,2,0.9487179487179488,0.7777777777777778,0.8534798534798534,0.006344508452633227,15.0
