sample_size,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,inner_cv_macro_f1_mean,selected_feature_count_mean,pca_component_count_mean
140,FS_PCA_L1_Logistic,0.6428571428571429,0.04761904761904766,0.6452922738637024,0.05232671323101398,0.6938208616780045,50.0,26.666666666666668
140,FS_PCA_RBF_SVM,0.7222222222222222,0.036369648372665375,0.7245468816897388,0.030477361859695493,0.7655955816670102,50.0,31.333333333333332
140,FS_PCA_RandomForest,0.7301587301587302,0.036369648372665375,0.7288044175262219,0.03768986716388688,0.7033472479901052,50.0,24.666666666666668
140,FS_PCA_Shrinkage_LDA,0.753968253968254,0.036369648372665354,0.7562041133469705,0.034950275091527684,0.7625996358139214,50.0,29.0
350,FS_PCA_L1_Logistic,0.7714285714285714,0.04364357804719851,0.7730105183253796,0.04100623383481317,0.7969462161219126,50.0,31.666666666666668
350,FS_PCA_RBF_SVM,0.8380952380952381,0.00952380952380949,0.840592256852387,0.008622781859171633,0.8330376528601872,50.0,40.333333333333336
350,FS_PCA_RandomForest,0.8031746031746033,0.029095718698132295,0.8031938561859372,0.03135209782480556,0.8183187442972937,50.0,29.666666666666668
350,FS_PCA_Shrinkage_LDA,0.815873015873016,0.010997147984564285,0.8177560056946351,0.01209203757967713,0.8224148137631494,50.0,32.0
700,FS_PCA_L1_Logistic,0.8492063492063492,0.03574073094983396,0.8479067888452004,0.03786938608280071,0.8406992085250352,50.0,38.0
700,FS_PCA_RBF_SVM,0.9,0.028965535858562957,0.9006117487167128,0.0294560937582995,0.878192934394003,50.0,42.0
700,FS_PCA_RandomForest,0.8650793650793651,0.00549857399228213,0.8647310263283604,0.005224342134993143,0.8384763802941747,50.0,42.0
700,FS_PCA_Shrinkage_LDA,0.8746031746031746,0.05560088853376826,0.8762932872451944,0.055191687239692706,0.8545495876660584,50.0,42.0
1400,FS_PCA_L1_Logistic,0.903968253968254,0.007273929674533054,0.9036743831835973,0.00853772375527677,0.8861054410122576,50.0,42.333333333333336
1400,FS_PCA_RBF_SVM,0.9301587301587301,0.003636964837266527,0.9301742248348193,0.0038677467940390533,0.9126223225840709,50.0,42.333333333333336
1400,FS_PCA_RandomForest,0.8952380952380953,0.006299407883487192,0.894618036036638,0.006343856953854544,0.8877168656152147,50.0,41.0
1400,FS_PCA_Shrinkage_LDA,0.9087301587301587,0.0013746434980705326,0.9090203813151095,0.001381016048343242,0.890823882335832,50.0,42.333333333333336
2800,FS_PCA_L1_Logistic,0.9103174603174603,0.0006873217490352663,0.9101163212089917,0.0008650225380527164,0.9118593800258741,50.0,43.0
2800,FS_PCA_RBF_SVM,0.9249999999999999,0.005455447255899809,0.9249798689410755,0.005295842097139277,0.9327788728548727,50.0,43.0
2800,FS_PCA_RandomForest,0.9099206349206349,0.013951107802576891,0.9099475092793586,0.013467632871575574,0.9107084513806316,50.0,43.0
2800,FS_PCA_Shrinkage_LDA,0.9126984126984127,0.01488492010596117,0.9126744742372459,0.014503392876975432,0.9048179095623093,50.0,43.0
5600,FS_PCA_L1_Logistic,0.9317370300357068,0.0044258154811395835,0.9339854451022728,0.00410119264988803,0.9298199755817921,50.0,43.0
5600,FS_PCA_RBF_SVM,0.9443394244906532,0.006467046552548068,0.9462459911014679,0.006084450635518946,0.9435809896844156,50.0,43.0
5600,FS_PCA_RandomForest,0.9292165511447176,0.00369216463584266,0.9305526526928286,0.0042330164772521545,0.9254995911371392,50.0,43.0
5600,FS_PCA_Shrinkage_LDA,0.9231253938248267,0.005671077504725869,0.9256248438315454,0.005646566107070563,0.9215037253150307,50.0,43.0
